hash,created_at,amount,source_account,destination_account,micro_transfer,large_transfer,timestamp,anomaly,is_suspicious
tx_0,2025-04-12T19:05:58.854863,771.55,G5035347,G4729423,False,False,1744484758.8548632,1,False
tx_1,2025-04-12T19:07:19.854863,102.91,G9997615,G3619482,False,False,1744484839.8548632,1,False
tx_2,2025-04-12T19:36:51.854863,419.77,G8902170,G2683577,False,False,1744486611.8548632,1,False
tx_3,2025-04-12T20:36:31.854863,328.87,G8367599,G9583477,False,False,1744490191.8548632,1,False
tx_4,2025-04-12T20:28:12.854863,888.81,G2534172,G7297024,False,False,1744489692.8548632,1,False
tx_5,2025-04-12T18:34:34.854863,87.84,G5888734,G6773472,False,False,1744482874.8548632,1,False
tx_6,2025-04-12T19:45:13.854863,636.19,G3216201,G7321961,False,False,1744487113.8548632,1,False
tx_7,2025-04-12T19:21:37.854863,991.54,G3875422,G4500416,False,True,1744485697.8548632,-1,True
tx_8,2025-04-12T19:23:43.854863,298.37,G4189856,G6675531,False,False,1744485823.8548632,1,False
tx_9,2025-04-12T18:57:38.854863,871.45,G3540803,G3823854,False,False,1744484258.8548632,1,False
tx_10,2025-04-12T20:13:49.854863,165.5,G5340789,G7791929,False,False,1744488829.8548632,1,False
tx_11,2025-04-12T18:32:22.854863,455.39,G6725273,G1170806,False,False,1744482742.8548632,1,False
tx_12,2025-04-12T20:00:03.854863,157.67,G6173285,G4527957,False,False,1744488003.8548632,1,False
tx_13,2025-04-12T19:06:53.854863,343.61,G9036253,G6913643,False,False,1744484813.8548632,1,False
tx_14,2025-04-12T18:09:58.854863,996.8,G7727603,G3948686,False,True,1744481398.8548632,-1,True
tx_15,2025-04-12T20:09:37.854863,94.6,G6002680,G9899733,False,False,1744488577.8548632,1,False
tx_16,2025-04-12T20:14:59.854863,791.6,G5272790,G5916154,False,False,1744488899.8548632,1,False
tx_17,2025-04-12T18:04:50.854863,123.84,G8540708,G9823175,False,False,1744481090.8548632,1,False
tx_18,2025-04-12T18:25:18.854863,530.33,G8531083,G4999842,False,False,1744482318.8548632,1,False
tx_19,2025-04-12T18:30:28.854863,187.08,G8203321,G2044396,False,False,1744482628.8548632,1,False
tx_20,2025-04-12T19:15:48.854863,404.83,G7444005,G9513916,False,False,1744485348.8548632,1,False
tx_21,2025-04-12T18:33:58.854863,112.16,G5251601,G8659614,False,False,1744482838.8548632,1,False
tx_22,2025-04-12T18:36:40.854863,795.39,G2069774,G2396486,False,False,1744483000.8548632,1,False
tx_23,2025-04-12T19:01:35.854863,687.38,G6491834,G8277301,False,False,1744484495.8548632,1,False
tx_24,2025-04-12T18:40:57.854863,818.05,G1578019,G5050441,False,False,1744483257.8548632,1,False
tx_25,2025-04-12T18:05:51.854863,39.93,G9243713,G4916565,False,False,1744481151.8548632,-1,True
tx_26,2025-04-12T19:36:26.854863,506.47,G3984076,G8901803,False,False,1744486586.8548632,1,False
tx_27,2025-04-12T19:32:31.854863,442.52,G1713988,G5302874,False,False,1744486351.8548632,1,False
tx_28,2025-04-12T19:33:07.854863,105.3,G9775552,G6155113,False,False,1744486387.8548632,1,False
tx_29,2025-04-12T19:16:57.854863,196.69,G4136306,G7391547,False,False,1744485417.8548632,1,False
